                                                       0     1     2     3  \
[1050, 0, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0     0     0     0   
[1050, 1, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0     0     0     0   
[1050, 2, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...  0.01     0     0     0   
[1050, 3, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0  2.67     0     0   
[1050, 4, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0     0     0     0   
[1050, 5, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0  2.67     0     0   
[1050, 6, 0, 600, 400, 0, 0, 0, 0, 0, 0, 0, 0, ...     0  2.82     0     0   
[1055, 7, 0, 600, 400, 0, 0, 5, 0, 0, 0, 0, 0, ...     0     0     0     0   
[1055, 7, 0, 600, 400, 0, 0, 5, 0, 55, 0, 0, 0,...     0     0     0     0   
[1060, 8, 0, 600, 400, 0, 0, 10, 0, 104, 0, 0, ...     0     0     0     0   
[1060, 8, 0, 600, 400, 0, 0, 10, 0, 99, 0, 0, 0...     0     0  0.66     0   
[1070, 9, 0, 600, 400, 0, 0, 20, 0, 132, 0, 0, ...     0     0     0     0   
[1070, 10, 0, 600, 400, 0, 0, 20, 0, 167, 0, 0,...     0     0     0     0   
[1085, 10, 0, 600, 400, 0, 0, 35, 0, 279, 0, 0,...     0  3.98     0     0   
[1100, 11, 0, 600, 400, 0, 0, 50, 0, 365, 0, 0,...     0     0     0     0   
[1100, 12, 0, 600, 400, 0, 0, 50, 0, 349, 0, 0,...     0     0     0     0   
[1110, 12, 0, 600, 400, 0, 0, 60, 0, 403, 0, 0,...     0     0     0     0   
[1110, 13, 0, 600, 400, 0, 0, 60, 0, 387, 0, 0,...     0     0     0     0   
[1110, 13, 0, 600, 400, 0, 0, 60, 0, 373, 0, 0,... -0.13     0     0     0   
[1110, 14, 0, 600, 400, 0, 0, 60, 0, 359, 0, 0,...     0     0     0  4.18   
[1120, 15, 0, 600, 400, 0, 0, 70, 0, 391, 0, 0,...     0     0     0     0   
[1120, 16, 0, 600, 400, 0, 0, 70, 0, 391, 0, 0,...     0     0     0     0   
[1125, 16, 0, 600, 400, 0, 0, 75, 0, 419, 0, 0,...     0     0     0  -1.7   
[1040, 18, 0, 600, 400, 0, 0, 90, 0, 475, 0, 10...     0     0     0 -1.47   
[1050, 19, 0, 600, 400, 0, 0, 100, 0, 559, 0, 1...     0     0     0     0   
[1065, 19, 0, 600, 400, 0, 0, 115, 0, 643, 0, 1...     0     0     0     0   
[1065, 20, 0, 600, 400, 0, 0, 115, 0, 643, 0, 1...     0     0     0     0   
[1165, 20, 0, 600, 400, 0, 0, 115, 0, 643, 0, 1...     0  0.01     0     0   
[1165, 21, 0, 600, 400, 0, 0, 115, 0, 643, 0, 1...     0     0     0     0   
[1165, 22, 0, 600, 400, 0, 0, 115, 0, 643, 0, 1...     0     0     0     0   
...                                                  ...   ...   ...   ...   
[6098, 3273, 5619, 5100, 3125, 7675, 950, 7375,...     0     0     0     0   
[6102, 3282, 5628, 5100, 3125, 7675, 950, 7375,...     0     0  1.14     0   
[6102, 3285, 5631, 5100, 3225, 7675, 950, 7375,...     0     0     0     0   
[6102, 3294, 5640, 5100, 3225, 7675, 950, 7375,...     0     0     0     0   
[6102, 3297, 5643, 5100, 3225, 7675, 950, 7375,...  0.21     0     0     0   
[6107, 3300, 5646, 5100, 3225, 7675, 950, 7380,...     0     0     0     0   
[6107, 3309, 5655, 5100, 3225, 7675, 950, 7380,...     0     0     0     0   
